236.669  115.513: opening buffers
316.453  049.122: BufEnter autocommands
058.820  000.315  000.315: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/neoclide/coc.nvim_release/autoload/coc/client.vim
277.912  000.306  000.306: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/clipboard.vim
006.532  000.302: expanding arguments
101.742  000.296  000.296: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
320.343  000.291  000.291: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/autoload/provider/clipboard.vim
107.962  000.289: loading packages
265.247  000.285  000.285: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/nerdfont/path/extension.vim
301.614  000.282  000.282: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern_preview/VS/Vim/Window.vim
075.432  000.280  000.280: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/util.vim
280.102  000.280  000.280: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/rename.vim
262.559  000.278  000.278: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file.vim
117.986  000.268  000.268: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline.vim
134.159  000.268  000.268: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/wordcount.vim
269.971  000.266  000.266: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/diff.vim
240.486  000.263  000.263: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/drawer.vim
133.516  000.258  000.258: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/po.vim
245.998  000.258  000.258: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/command/reveal.vim
102.571  000.257  000.257: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/matchparen.vim
320.355  000.255: before starting main loop
105.495  000.253  000.253: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/zipPlugin.vim
239.654  000.253  000.253: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/internal/args.vim
245.299  000.253  000.253: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/hook.vim
274.474  000.247  000.247: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/tree.vim
276.353  000.244  000.244: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/bookmark.vim
300.382  000.242  000.242: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern_preview/VS/Vim/Buffer.vim
173.078  000.241  000.241: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/default.vim
281.504  000.239  000.239: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/terminal.vim
284.166  000.234  000.234: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/App/Spinner.vim
131.396  000.232  000.232: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/nvimlsp.vim
273.637  000.228  000.228: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/open.vim
277.154  000.228  000.228: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/cd.vim
254.376  000.226  000.226: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Async/Promise/Process.vim
252.764  000.220  000.220: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Async/Lambda.vim
272.063  000.220  000.220: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/mapping/mark.vim
132.003  000.218  000.218: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/extensions/coc.vim
278.560  000.213  000.213: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/ex.vim
056.567  000.212  000.212: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/neoclide/coc.nvim_release/autoload/coc/rpc.vim
094.718  000.208  000.208: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/plugin/lexima.vim
014.281  000.206  000.206: sourcing /Users/mochi/.config/nvim/dein/repos/github.com/Shougo/dein.vim/autoload/dein.vim
070.693  000.202  000.202: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/init.vim
280.870  000.202  000.202: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/fern/scheme/file/mapping/system.vim
147.552  000.198  000.198: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/airline/themes.vim
256.702  000.197  000.197: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Async/CancellationToken.vim
259.572  000.195  000.195: sourcing /Users/mochi/.config/nvim/dein/.cache/init.vim/.dein/autoload/vital/_fern/Async/CancellationTokenSource.vim
104.621  000.190  000.190: sourcing /usr/local/Cellar/neovim/0.6.0/share/nvim/runtime/plugin/tarPlugin.vim
