

times in msec
 clock   self+sourced   self:  sourced script
 clock   elapsed:              other lines

301.887  000.068  000.068: sourcing /usr/local/share/nvim/runtime/plugin/man.vim
303.369  000.299  000.299: sourcing /usr/local/share/nvim/runtime/pack/dist/opt/matchit/plugin/matchit.vim
303.557  001.477  001.178: sourcing /usr/local/share/nvim/runtime/plugin/matchit.vim
303.820  000.199  000.199: sourcing /usr/local/share/nvim/runtime/plugin/matchparen.vim
304.411  000.524  000.524: sourcing /usr/local/share/nvim/runtime/plugin/netrwPlugin.vim
304.740  000.027  000.027: sourcing /Users/mochi/.local/share/nvim/rplugin.vim
304.755  000.267  000.240: sourcing /usr/local/share/nvim/runtime/plugin/rplugin.vim
304.926  000.105  000.105: sourcing /usr/local/share/nvim/runtime/plugin/shada.vim
305.041  000.038  000.038: sourcing /usr/local/share/nvim/runtime/plugin/spellfile.vim
305.271  000.158  000.158: sourcing /usr/local/share/nvim/runtime/plugin/tarPlugin.vim
305.472  000.129  000.129: sourcing /usr/local/share/nvim/runtime/plugin/tohtml.vim
305.582  000.034  000.034: sourcing /usr/local/share/nvim/runtime/plugin/tutor.vim
305.868  000.219  000.219: sourcing /usr/local/share/nvim/runtime/plugin/zipPlugin.vim
310.128  001.773  001.773: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/nvim-cmp/plugin/cmp.lua
310.841  015.574: loading rtp plugins
311.022  000.181: loading packages
311.666  000.196  000.196: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_vsnip.vim
312.164  000.397  000.397: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/dracula.vim
313.303  000.545  000.545: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_buffer.lua
313.674  000.268  000.268: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_cmdline.lua
313.958  000.183  000.183: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_emoji.lua
314.148  000.088  000.088: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_nvim_lsp.lua
314.439  000.192  000.192: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_nvim_lsp_document_symbol.lua
314.851  000.231  000.231: sourcing /Users/mochi/.local/share/nvim/site/pack/jetpack/opt/_/after/plugin/cmp_nvim_lsp_signature_help.lua
